group,k_tasks,within_tasks,within_cross_dim,within_shared_count,within_shared_ratio,mixed_shared_ratio_mean,mixed_shared_ratio_std,mixed_shared_count_mean,mixed_shared_count_std
math,2,"gsm8k,aqua",2004,127,0.06337325349301397,0.04520422803941603,0.004068566612934884,102.5,6.783067152844648
commonsense,2,"commonsenseqa,piqa",2282,96,0.042068361086765996,0.04417186358920358,0.004232511268410657,100.74,6.904520258497327
reasoning,2,"strategyqa,boolq",2377,100,0.04206983592763988,0.045911041738989064,0.003629022928468139,104.04,5.841095787606979
science,2,"openbookqa,qasc",2157,114,0.05285118219749652,0.04412349214902808,0.004224192171152301,101.38,7.1495174662350465
