task,cand_name,cand_pos,cand_neg,method,slope,slope_std,mean_of_means,std_across_templates,worst_case_mean,anti_mean,anti_worst
csqa_pair,1/2,1,2,decode_est,0.004740396994141827,0.0,0.0047403969801962376,0.009257289581000805,-0.00494384765625,0.3229166567325592,0.43359375
csqa_pair,1/2,1,2,decode_beta0.25,0.005228678229589912,0.0,0.0052286782301962376,0.009814374148845673,-0.004638671875,0.3138020932674408,0.4296875
csqa_pair,1/2,1,2,decode_beta0.5,0.007934570076031384,0.0,0.0079345703125,0.009295128285884857,-0.00152587890625,0.2838541567325592,0.37109375
csqa_pair,1/2,1,2,decode_beta0.75,0.009602864297145675,0.0,0.009602864272892475,0.00851352233439684,-0.00042724609375,0.2760416567325592,0.37890625
csqa_pair,1/2,1,2,decode_fixed,0.014526366754580534,0.0,0.0145263671875,0.003117377171292901,0.0106201171875,0.2005208283662796,0.234375
csqa_pair,1/2,1,2,rand_matched,0.005635579259129984,0.011770381568049597,0.0056355795823037624,0.003802959807217121,0.0003540039178915322,0.31458333134651184,0.3531250059604645
