group,k_tasks,within_tasks,within_cross_dim,within_shared_count,within_shared_ratio,mixed_shared_ratio_mean,mixed_shared_ratio_std,mixed_shared_count_mean,mixed_shared_count_std
math,2,"gsm8k,aqua",2221,157,0.07068887888338586,0.04611760338077521,0.006966162868741211,123.08,14.012622880817139
commonsense,2,"commonsenseqa,piqa",2723,118,0.04333455747337495,0.04771231014618659,0.0073944899742066725,126.84,14.834230684467597
reasoning,2,"strategyqa,boolq",2815,120,0.04262877442273535,0.046110464533589184,0.00623865227752485,123.48,12.660552910516982
science,2,"openbookqa,qasc",2600,117,0.045,0.04797694138902972,0.007210851047058457,126.66,14.695046784546145
