task,cand_name,cand_pos,cand_neg,method,slope,slope_std,mean_of_means,std_across_templates,worst_case_mean,anti_mean,anti_worst
rte,yes/no,yes,no,decode_est,0.018829345141966786,0.0,0.018829345703125,0.02282022498548031,-0.012237548828125,0.4036458432674408,0.52734375
rte,yes/no,yes,no,decode_beta0.25,0.02074177998080512,0.0,0.02074178121984005,0.018632130697369576,-0.004974365234375,0.3932291567325592,0.4921875
rte,yes/no,yes,no,decode_beta0.5,0.024149576103203212,0.0,0.02414957620203495,0.012545095756649971,0.00640869140625,0.3828125,0.47265625
rte,yes/no,yes,no,decode_beta0.75,0.024556477132743285,0.0,0.02455647848546505,0.005225392058491707,0.017578125,0.3828125,0.43359375
rte,yes/no,yes,no,decode_fixed,0.02672322511504416,0.0,0.02672322653234005,0.006854909006506205,0.01715087890625,0.37890625,0.4140625
rte,yes/no,yes,no,rand_matched,-0.030869546606057487,0.04309756152133214,-0.03086954914033413,0.014899889938533306,-0.04845581203699112,0.5630208253860474,0.620312511920929
