n_tasks,overlap_mean,overlap_std,cross_dim_mean,cross_dim_std
2,0.9211452215909958,0.0070745407718247055,2636.55,136.82232091292707
3,0.9366736143827439,0.004972879578849268,2788.85,83.42617994370832
4,0.9475286453962326,0.005383523721559911,2885.05,56.37417405159919
5,0.9602270513772965,0.0040746298563287065,2904.3,59.4382873239127
6,0.9711884051561356,0.0032734154672079273,2951.45,33.885800861127656
7,0.9845485717058182,0.0016791671881436678,2967.2,23.96372258227006
8,1.0,0.0,2989.0,0.0
