n_tasks,overlap_mean,overlap_std,cross_dim_mean,cross_dim_std
2,0.9135639518499374,0.005993367426170039,2258.0,80.13675810762498
3,0.9287028193473816,0.007360185505414956,2419.45,48.032775268560115
4,0.9421510696411133,0.004638192103719965,2490.05,38.809116197099875
5,0.9537317872047424,0.004014579014060167,2521.1,38.46673887919276
6,0.9676644176244735,0.00507466724991013,2569.1,24.045581714735036
7,0.9813979715108871,0.0035035207314117606,2592.35,17.036064686423327
8,1.0,0.0,2614.0,0.0
