task,cand_name,cand_pos,cand_neg,method,slope,slope_std,mean_of_means,std_across_templates,worst_case_mean,anti_mean,anti_worst
csqa_pair,yes/no,yes,no,decode_est,0.011392717220602911,0.0,0.011392717249691486,0.006301673129200935,0.002509981393814087,0.375,0.44140625
csqa_pair,yes/no,yes,no,decode_beta0.25,0.012980738888758253,0.0,0.012980739586055279,0.005799479316920042,0.004788212478160858,0.3541666567325592,0.40234375
csqa_pair,yes/no,yes,no,decode_beta0.5,0.014568844996824513,0.0,0.014568845741450787,0.005097064655274153,0.007360510528087616,0.34375,0.39453125
csqa_pair,yes/no,yes,no,decode_beta0.75,0.015960998357504655,0.0,0.015960998833179474,0.004184858873486519,0.010059870779514313,0.3346354067325592,0.3671875
csqa_pair,yes/no,yes,no,decode_fixed,0.016931605331154502,0.0,0.016931606456637383,0.003119941335171461,0.012614481151103973,0.3111979067325592,0.3515625
csqa_pair,yes/no,yes,no,rand_matched,0.0026839449201838694,0.004102527947867411,0.0026839450001716614,0.0017265912611037493,0.0006078854203224182,0.48072919249534607,0.5078125
