mode,n_tasks,overlap_mean,overlap_std,cross_dim_mean,cross_dim_std
decode-last,2,0.9197466492652893,0.006026695551676297,2571.0,86.98907977441766
decode-last,3,0.9334358960390091,0.004917211074752807,2745.7,52.171927317284336
decode-last,4,0.9461889833211898,0.004281815498911861,2818.85,69.28800401223866
decode-last,5,0.9584311038255692,0.0038653128809209955,2869.9,54.34418092123572
decode-last,6,0.9703160136938095,0.0013553664545676682,2890.2,33.66244197915534
decode-last,7,0.9838885396718979,0.00158958362075641,2942.9,11.571084650973734
decode-last,8,1.0,0.0,2961.0,0.0
prefill-last,2,0.8835951507091522,0.038826075889641855,160.4,3.8910152916687446
prefill-last,3,0.8964627057313919,0.02866208536946684,223.45,3.787809393303734
prefill-last,4,0.910495325922966,0.025564568543318154,278.1,6.073713855624085
prefill-last,5,0.9221336811780929,0.0234533513764077,327.8,6.637770710110435
prefill-last,6,0.9481150954961777,0.011770227513000695,377.45,5.669876541865792
prefill-last,7,0.9588903367519379,0.015543090227155484,415.7,4.744470465710584
prefill-last,8,1.0,0.0,456.0,0.0
decode-step-t,2,0.9455400228500366,0.010820042912411117,181.15,14.687664892691418
decode-step-t,3,0.9463424295186996,0.007314795348674653,271.8,15.628819533157328
decode-step-t,4,0.9484179764986038,0.006937619685336129,345.6,16.962900695340995
decode-step-t,5,0.9536636382341385,0.0042919688882498575,426.2,8.975522268926749
decode-step-t,6,0.9607871174812317,0.00426655485633513,498.15,13.380115844042606
decode-step-t,7,0.9757188469171524,0.0035452352857782525,576.95,8.754855795500005
decode-step-t,8,1.0,0.0,644.0,0.0
