task,cand_name,cand_pos,cand_neg,method,slope,slope_std,mean_of_means,std_across_templates,worst_case_mean,anti_mean,anti_worst
rte,yes/no,yes,no,decode_est,0.0020548501991773586,0.0,0.0020548503380268812,0.0004710220091510564,0.00140380859375,0.3658854067325592,0.39453125
rte,yes/no,yes,no,decode_beta0.25,0.0031534829789355502,0.0,0.0031534831505268812,0.0005041304975748062,0.00244140625,0.3723958432674408,0.390625
rte,yes/no,yes,no,decode_beta0.5,0.004699706891187819,0.0,0.00469970703125,0.00133814150467515,0.0029296875,0.33984375,0.34375
rte,yes/no,yes,no,decode_beta0.75,0.006876627399227199,0.0,0.0068766274489462376,0.001918701222166419,0.0045166015625,0.3294270932674408,0.34765625
rte,yes/no,yes,no,decode_fixed,0.008076985436370409,0.0,0.008076985366642475,0.004142104648053646,0.002685546875,0.3125,0.359375
rte,yes/no,yes,no,rand_matched,-0.0014607746960488548,0.008177361837198754,-0.0014607746852561831,0.001767543493770063,-0.0036987303756177425,0.3934895992279053,0.4203124940395355
